,Car,Date,Grand Prix,Laps,Time,Winner
0,Alfa Romeo,13 May 1950,Great Britain,70,2:13:23.600,NinoFarina
1,Alfa Romeo,21 May 1950,Monaco,100,3:13:18.700,Juan ManuelFangio
2,Kurtis Kraft Offenhauser,30 May 1950,Indianapolis 500,138,2:46:55.970,Johnnie Parsons
3,Alfa Romeo,04 Jun 1950,Switzerland,42,2:02:53.700,NinoFarina
4,Alfa Romeo,18 Jun 1950,Belgium,35,2:47:26.000,Juan ManuelFangio
5,Alfa Romeo,02 Jul 1950,France,64,2:57:52.800,Juan ManuelFangio
6,Alfa Romeo,03 Sep 1950,Italy,80,2:51:17.400,NinoFarina
7,Alfa Romeo,27 May 1951,Switzerland,42,2:07:53.640,Juan ManuelFangio
8,Kurtis Kraft Offenhauser,30 May 1951,Indianapolis 500,200,3:57:38.050,LeeWallard
9,Alfa Romeo,17 Jun 1951,Belgium,36,2:45:46.200,NinoFarina
10,Alfa Romeo,01 Jul 1951,France,77,3:22:11.000,Juan ManuelFangio
11,Alfa Romeo,01 Jul 1951,France,null,,LuigiFagioli
12,Ferrari,14 Jul 1951,Great Britain,90,2:42:18.200,Jose FroilanGonzalez
13,Ferrari,29 Jul 1951,Germany,20,3:23:03.300,AlbertoAscari
14,Ferrari,16 Sep 1951,Italy,80,2:42:39.300,AlbertoAscari
15,Alfa Romeo,28 Oct 1951,Spain,70,2:46:54.100,Juan ManuelFangio
16,Ferrari,18 May 1952,Switzerland,62,3:01:46.100,Piero Taruffi
17,Kuzma Offenhauser,30 May 1952,Indianapolis 500,200,3:52:41.880,TroyRuttman
18,Ferrari,22 Jun 1952,Belgium,36,3:03:46.300,AlbertoAscari
19,Ferrari,06 Jul 1952,France,77,3:00:00.000,AlbertoAscari
20,Ferrari,19 Jul 1952,Great Britain,85,2:44:11.000,AlbertoAscari
21,Ferrari,03 Aug 1952,Germany,18,3:06:13.300,AlbertoAscari
22,Ferrari,17 Aug 1952,Netherlands,90,2:53:28.500,AlbertoAscari
23,Ferrari,07 Sep 1952,Italy,80,2:50:45.600,AlbertoAscari
24,Ferrari,18 Jan 1953,Argentina,97,3:01:04.600,AlbertoAscari
25,Kurtis Kraft Offenhauser,30 May 1953,Indianapolis 500,200,3:53:01.690,Bill Vukovich
26,Ferrari,07 Jun 1953,Netherlands,90,2:53:35.800,AlbertoAscari
27,Ferrari,21 Jun 1953,Belgium,36,2:48:30.300,AlbertoAscari
28,Ferrari,05 Jul 1953,France,60,2:44:18.600,MikeHawthorn
29,Ferrari,18 Jul 1953,Great Britain,90,2:50:00.000,AlbertoAscari
30,Ferrari,02 Aug 1953,Germany,18,3:02:25.000,NinoFarina
31,Ferrari,23 Aug 1953,Switzerland,65,3:01:34.400,AlbertoAscari
32,Maserati,13 Sep 1953,Italy,80,2:49:45.900,Juan ManuelFangio
33,Maserati,17 Jan 1954,Argentina,87,3:00:55.800,Juan ManuelFangio
34,Kurtis Kraft Offenhauser,31 May 1954,Indianapolis 500,200,3:49:17.270,Bill Vukovich
35,Maserati,20 Jun 1954,Belgium,36,2:44:42.400,Juan ManuelFangio
36,Mercedes-Benz,04 Jul 1954,France,61,2:42:47.900,Juan ManuelFangio
37,Ferrari,17 Jul 1954,Great Britain,90,2:56:14.000,Jose FroilanGonzalez
38,Mercedes-Benz,01 Aug 1954,Germany,22,3:45:45.800,Juan ManuelFangio
39,Mercedes-Benz,22 Aug 1954,Switzerland,66,3:00:34.500,Juan ManuelFangio
40,Mercedes-Benz,05 Sep 1954,Italy,80,2:47:47.900,Juan ManuelFangio
41,Ferrari,24 Oct 1954,Spain,80,3:13:52.100,MikeHawthorn
42,Mercedes-Benz,16 Jan 1955,Argentina,96,3:00:38.600,Juan ManuelFangio
43,Ferrari,22 May 1955,Monaco,100,2:58:09.700,Maurice Trintignant
44,Kurtis Kraft Offenhauser,30 May 1955,Indianapolis 500,200,3:53:59.530,BobSweikert
45,Mercedes-Benz,05 Jun 1955,Belgium,36,2:39:29.000,Juan ManuelFangio
46,Mercedes-Benz,19 Jun 1955,Netherlands,100,2:54:23.800,Juan ManuelFangio
47,Mercedes-Benz,16 Jul 1955,Great Britain,90,3:07:21.200,StirlingMoss
48,Mercedes-Benz,11 Sep 1955,Italy,50,2:25:04.400,Juan ManuelFangio
49,Ferrari,22 Jan 1956,Argentina,null,,LuigiMusso
50,Ferrari,22 Jan 1956,Argentina,98,3:00:03.700,Juan ManuelFangio
51,Maserati,13 May 1956,Monaco,100,3:00:32.900,StirlingMoss
52,Watson Offenhauser,30 May 1956,Indianapolis 500,200,3:53:28.840,PatFlaherty
53,Ferrari,03 Jun 1956,Belgium,36,2:40:00.300,PeterCollins
54,Ferrari,01 Jul 1956,France,61,2:34:23.400,PeterCollins
55,Ferrari,14 Jul 1956,Great Britain,101,2:59:47.000,Juan ManuelFangio
56,Ferrari,05 Aug 1956,Germany,22,3:38:43.700,Juan ManuelFangio
57,Maserati,02 Sep 1956,Italy,50,2:23:41.300,StirlingMoss
58,Maserati,13 Jan 1957,Argentina,100,3:00:55.900,Juan ManuelFangio
59,Maserati,19 May 1957,Monaco,105,3:10:12.800,Juan ManuelFangio
60,Epperly Offenhauser,30 May 1957,Indianapolis 500,200,3:41:14.250,SamHanks
61,Maserati,07 Jul 1957,France,77,3:07:46.400,Juan ManuelFangio
62,Vanwall,20 Jul 1957,Great Britain,90,3:06:37.800,StirlingMoss
63,Vanwall,20 Jul 1957,Great Britain,null,,TonyBrooks
64,Maserati,04 Aug 1957,Germany,22,3:30:38.300,Juan ManuelFangio
65,Vanwall,18 Aug 1957,Pescara,18,2:59:22.700,StirlingMoss
66,Vanwall,08 Sep 1957,Italy,87,2:35:03.900,StirlingMoss
67,Cooper Climax,19 Jan 1958,Argentina,80,2:19:33.700,StirlingMoss
68,Cooper Climax,18 May 1958,Monaco,100,2:52:27.900,Maurice Trintignant
69,Vanwall,26 May 1958,Netherlands,75,2:04:49.200,StirlingMoss
70,Epperly Offenhauser,30 May 1958,Indianapolis 500,200,3:44:13.800,JimmyBryan
71,Vanwall,15 Jun 1958,Belgium,24,1:37:06.300,TonyBrooks
72,Ferrari,06 Jul 1958,France,50,2:03:21.300,MikeHawthorn
73,Ferrari,19 Jul 1958,Great Britain,75,2:09:04.200,PeterCollins
74,Vanwall,03 Aug 1958,Germany,15,2:21:15.000,TonyBrooks
75,Vanwall,24 Aug 1958,Portugal,50,2:11:27.800,StirlingMoss
76,Vanwall,07 Sep 1958,Italy,70,2:03:47.800,TonyBrooks
77,Vanwall,19 Oct 1958,Morocco,53,2:09:15.100,StirlingMoss
78,Cooper Climax,10 May 1959,Monaco,100,2:55:51.300,JackBrabham
79,Watson Offenhauser,30 May 1959,Indianapolis 500,200,3:40:49.200,RodgerWard
80,BRM,31 May 1959,Netherlands,75,2:05:26.800,JoBonnier
81,Ferrari,05 Jul 1959,France,50,2:01:26.500,TonyBrooks
82,Cooper Climax,18 Jul 1959,Great Britain,75,2:30:11.600,JackBrabham
83,Ferrari,02 Aug 1959,Germany,60,2:09:31.600,TonyBrooks
84,Cooper Climax,23 Aug 1959,Portugal,62,2:11:55.410,StirlingMoss
85,Cooper Climax,13 Sep 1959,Italy,72,2:04:05.400,StirlingMoss
86,Cooper Climax,12 Dec 1959,United States,42,2:12:35.700,BruceMcLaren
87,Cooper Climax,07 Feb 1960,Argentina,80,2:17:49.500,BruceMcLaren
88,Lotus Climax,29 May 1960,Monaco,100,2:53:45.500,StirlingMoss
89,Watson Offenhauser,30 May 1960,Indianapolis 500,200,3:36:11.360,JimRathmann
90,Cooper Climax,06 Jun 1960,Netherlands,75,2:01:47.200,JackBrabham
91,Cooper Climax,19 Jun 1960,Belgium,36,2:21:37.300,JackBrabham
92,Cooper Climax,03 Jul 1960,France,50,1:57:24.900,JackBrabham
93,Cooper Climax,16 Jul 1960,Great Britain,77,2:04:24.600,JackBrabham
94,Cooper Climax,14 Aug 1960,Portugal,55,2:19:00.030,JackBrabham
95,Ferrari,04 Sep 1960,Italy,50,2:21:09.200,PhilHill
96,Lotus Climax,20 Nov 1960,United States,75,2:28:52.200,StirlingMoss
97,Lotus Climax,14 May 1961,Monaco,100,2:45:50.100,StirlingMoss
98,Ferrari,22 May 1961,Netherlands,75,2:01:52.100,Wolfgangvon Trips
99,Ferrari,18 Jun 1961,Belgium,30,2:03:03.800,PhilHill
100,Ferrari,02 Jul 1961,France,52,2:14:17.500,GiancarloBaghetti
101,Ferrari,15 Jul 1961,Great Britain,75,2:40:53.600,Wolfgangvon Trips
102,Lotus Climax,06 Aug 1961,Germany,15,2:18:12.400,StirlingMoss
103,Ferrari,10 Sep 1961,Italy,43,2:03:13.000,PhilHill
104,Lotus Climax,08 Oct 1961,United States,100,2:13:45.800,InnesIreland
105,BRM,20 May 1962,Netherlands,80,2:11:02.100,GrahamHill
106,Cooper Climax,03 Jun 1962,Monaco,100,2:46:29.700,BruceMcLaren
107,Lotus Climax,17 Jun 1962,Belgium,32,2:07:32.300,JimClark
108,Porsche,08 Jul 1962,France,54,2:07:35.500,DanGurney
109,Lotus Climax,21 Jul 1962,Great Britain,75,2:26:20.800,JimClark
110,BRM,05 Aug 1962,Germany,15,2:38:45.300,GrahamHill
111,BRM,16 Sep 1962,Italy,86,2:29:08.400,GrahamHill
112,Lotus Climax,07 Oct 1962,United States,100,2:07:13.000,JimClark
113,BRM,29 Dec 1962,South Africa,82,2:08:03.300,GrahamHill
114,BRM,26 May 1963,Monaco,100,2:41:49.700,GrahamHill
115,Lotus Climax,09 Jun 1963,Belgium,32,2:27:47.600,JimClark
116,Lotus Climax,23 Jun 1963,Netherlands,80,2:08:13.700,JimClark
117,Lotus Climax,30 Jun 1963,France,53,2:10:54.300,JimClark
118,Lotus Climax,20 Jul 1963,Great Britain,82,2:14:09.600,JimClark
119,Ferrari,04 Aug 1963,Germany,15,2:13:06.800,JohnSurtees
120,Lotus Climax,08 Sep 1963,Italy,86,2:24:19.600,JimClark
121,BRM,06 Oct 1963,United States,110,2:19:22.100,GrahamHill
122,Lotus Climax,27 Oct 1963,Mexico,65,2:09:52.100,JimClark
123,Lotus Climax,28 Dec 1963,South Africa,85,2:10:36.900,JimClark
124,BRM,10 May 1964,Monaco,100,2:41:19.500,GrahamHill
125,Lotus Climax,24 May 1964,Netherlands,80,2:07:35.400,JimClark
126,Lotus Climax,14 Jun 1964,Belgium,32,2:06:40.500,JimClark
127,Brabham Climax,28 Jun 1964,France,57,2:07:49.100,DanGurney
128,Lotus Climax,11 Jul 1964,Great Britain,80,2:15:07.000,JimClark
129,Ferrari,02 Aug 1964,Germany,15,2:12:04.800,JohnSurtees
130,Ferrari,23 Aug 1964,Austria,105,2:06:18.230,LorenzoBandini
131,Ferrari,06 Sep 1964,Italy,78,2:10:51.800,JohnSurtees
132,BRM,04 Oct 1964,United States,110,2:16:38.000,GrahamHill
133,Brabham Climax,25 Oct 1964,Mexico,65,2:09:50.320,DanGurney
134,Lotus Climax,01 Jan 1965,South Africa,85,2:06:46.000,JimClark
135,BRM,30 May 1965,Monaco,100,2:37:39.600,GrahamHill
136,Lotus Climax,13 Jun 1965,Belgium,32,2:23:34.800,JimClark
137,Lotus Climax,27 Jun 1965,France,40,2:14:38.400,JimClark
138,Lotus Climax,10 Jul 1965,Great Britain,80,2:05:25.400,JimClark
139,Lotus Climax,18 Jul 1965,Netherlands,80,2:03:59.100,JimClark
140,Lotus Climax,01 Aug 1965,Germany,15,2:07:52.400,JimClark
141,BRM,12 Sep 1965,Italy,76,2:04:52.800,JackieStewart
142,BRM,03 Oct 1965,United States,110,2:20:36.100,GrahamHill
143,Honda,24 Oct 1965,Mexico,65,2:08:32.100,RichieGinther
144,BRM,22 May 1966,Monaco,100,2:33:10.500,JackieStewart
145,Ferrari,12 Jun 1966,Belgium,28,2:09:11.300,JohnSurtees
146,Brabham Repco,03 Jul 1966,France,48,1:48:31.300,JackBrabham
147,Brabham Repco,16 Jul 1966,Great Britain,80,2:13:13.400,JackBrabham
148,Brabham Repco,24 Jul 1966,Netherlands,90,2:20:32.500,JackBrabham
149,Brabham Repco,07 Aug 1966,Germany,15,2:27:03.000,JackBrabham
150,Ferrari,04 Sep 1966,Italy,68,1:47:14.800,LudovicoScarfiotti
151,Lotus BRM,02 Oct 1966,United States,108,2:09:40.100,JimClark
152,Cooper Maserati,23 Oct 1966,Mexico,65,2:06:35.340,JohnSurtees
153,Cooper Maserati,02 Jan 1967,South Africa,80,2:05:45.900,PedroRodriguez
154,Brabham Repco,07 May 1967,Monaco,100,2:34:34.300,DennyHulme
155,Lotus Ford,04 Jun 1967,Netherlands,90,2:14:45.100,JimClark
156,Eagle Weslake,18 Jun 1967,Belgium,28,1:40:49.400,DanGurney
157,Brabham Repco,02 Jul 1967,France,80,2:13:21.300,JackBrabham
158,Lotus Ford,15 Jul 1967,Great Britain,80,1:59:25.600,JimClark
159,Brabham Repco,06 Aug 1967,Germany,15,2:05:55.700,DennyHulme
160,Brabham Repco,27 Aug 1967,Canada,90,2:40:40.000,JackBrabham
161,Honda,10 Sep 1967,Italy,68,1:43:45.000,JohnSurtees
162,Lotus Ford,01 Oct 1967,United States,108,2:03:13.200,JimClark
163,Lotus Ford,22 Oct 1967,Mexico,65,1:59:28.700,JimClark
164,Lotus Ford,01 Jan 1968,South Africa,80,1:53:56.600,JimClark
165,Lotus Ford,12 May 1968,Spain,90,2:15:20.100,GrahamHill
166,Lotus Ford,26 May 1968,Monaco,80,2:00:32.300,GrahamHill
167,McLaren Ford,09 Jun 1968,Belgium,28,1:40:02.100,BruceMcLaren
168,Matra Ford,23 Jun 1968,Netherlands,90,2:46:11.260,JackieStewart
169,Ferrari,07 Jul 1968,France,60,2:25:40.900,JackyIckx
170,Lotus Ford,20 Jul 1968,Great Britain,80,2:01:20.300,JoSiffert
171,Matra Ford,04 Aug 1968,Germany,14,2:19:03.200,JackieStewart
172,McLaren Ford,08 Sep 1968,Italy,68,1:40:14.800,DennyHulme
173,McLaren Ford,22 Sep 1968,Canada,90,2:27:11.200,DennyHulme
174,Matra Ford,06 Oct 1968,United States,108,1:59:20.290,JackieStewart
175,Lotus Ford,03 Nov 1968,Mexico,65,1:56:43.950,GrahamHill
176,Matra Ford,01 Mar 1969,South Africa,80,1:50:39.100,JackieStewart
177,Matra Ford,04 May 1969,Spain,90,2:16:53.990,JackieStewart
178,Lotus Ford,18 May 1969,Monaco,80,1:56:59.400,GrahamHill
179,Matra Ford,21 Jun 1969,Netherlands,90,2:06:42.080,JackieStewart
180,Matra Ford,06 Jul 1969,France,38,1:56:47.400,JackieStewart
181,Matra Ford,19 Jul 1969,Great Britain,84,1:55:55.600,JackieStewart
182,Brabham Ford,03 Aug 1969,Germany,14,1:49:55.400,JackyIckx
183,Matra Ford,07 Sep 1969,Italy,68,1:39:11.260,JackieStewart
184,Brabham Ford,20 Sep 1969,Canada,90,1:59:25.700,JackyIckx
185,Lotus Ford,05 Oct 1969,United States,108,1:57:56.840,JochenRindt
186,McLaren Ford,19 Oct 1969,Mexico,65,1:54:08.800,DennyHulme
187,Brabham Ford,07 Mar 1970,South Africa,80,1:49:34.600,JackBrabham
188,March Ford,19 Apr 1970,Spain,90,2:10:58.200,JackieStewart
189,Lotus Ford,10 May 1970,Monaco,80,1:54:36.600,JochenRindt
190,BRM,07 Jun 1970,Belgium,28,1:38:09.900,PedroRodriguez
191,Lotus Ford,21 Jun 1970,Netherlands,80,1:50:43.410,JochenRindt
192,Lotus Ford,05 Jul 1970,France,38,1:55:57.000,JochenRindt
193,Lotus Ford,18 Jul 1970,Great Britain,80,1:57:02.000,JochenRindt
194,Lotus Ford,02 Aug 1970,Germany,50,1:42:00.300,JochenRindt
195,Ferrari,16 Aug 1970,Austria,60,1:42:17.320,JackyIckx
196,Ferrari,06 Sep 1970,Italy,68,1:39:06.880,ClayRegazzoni
197,Ferrari,20 Sep 1970,Canada,90,2:21:18.400,JackyIckx
198,Lotus Ford,04 Oct 1970,United States,108,1:57:32.790,EmersonFittipaldi
199,Ferrari,25 Oct 1970,Mexico,65,1:53:28.360,JackyIckx
200,Ferrari,06 Mar 1971,South Africa,79,1:47:35.500,MarioAndretti
201,Tyrrell Ford,18 Apr 1971,Spain,75,1:49:03.400,JackieStewart
202,Tyrrell Ford,23 May 1971,Monaco,80,1:52:21.300,JackieStewart
203,Ferrari,20 Jun 1971,Netherlands,70,1:56:20.090,JackyIckx
204,Tyrrell Ford,04 Jul 1971,France,55,1:46:41.680,JackieStewart
205,Tyrrell Ford,17 Jul 1971,Great Britain,68,1:31:31.500,JackieStewart
206,Tyrrell Ford,01 Aug 1971,Germany,12,1:29:15.700,JackieStewart
207,BRM,15 Aug 1971,Austria,54,1:30:23.910,JoSiffert
208,BRM,05 Sep 1971,Italy,55,1:18:12.600,Peter Gethin
209,Tyrrell Ford,19 Sep 1971,Canada,64,1:55:12.900,JackieStewart
210,Tyrrell Ford,03 Oct 1971,United States,59,1:43:51.991,Francois Cevert
211,Tyrrell Ford,23 Jan 1972,Argentina,95,1:57:58.820,JackieStewart
212,McLaren Ford,04 Mar 1972,South Africa,79,1:45:49.100,DennyHulme
213,Lotus Ford,01 May 1972,Spain,90,2:03:41.230,EmersonFittipaldi
214,BRM,14 May 1972,Monaco,80,2:26:54.700,Jean-PierreBeltoise
215,Lotus Ford,04 Jun 1972,Belgium,85,1:44:06.700,EmersonFittipaldi
216,Tyrrell Ford,02 Jul 1972,France,38,1:52:21.500,JackieStewart
217,Lotus Ford,15 Jul 1972,Great Britain,76,1:47:50.200,EmersonFittipaldi
218,Ferrari,30 Jul 1972,Germany,14,1:42:12.300,JackyIckx
219,Lotus Ford,13 Aug 1972,Austria,54,1:29:16.660,EmersonFittipaldi
220,Lotus Ford,10 Sep 1972,Italy,55,1:29:58.400,EmersonFittipaldi
221,Tyrrell Ford,24 Sep 1972,Canada,80,1:43:16.900,JackieStewart
222,Tyrrell Ford,08 Oct 1972,United States,59,1:41:45.354,JackieStewart
223,Lotus Ford,28 Jan 1973,Argentina,96,1:56:18.220,EmersonFittipaldi
224,Lotus Ford,11 Feb 1973,Brazil,40,1:43:55.600,EmersonFittipaldi
225,Tyrrell Ford,03 Mar 1973,South Africa,79,1:43:11.070,JackieStewart
226,Lotus Ford,29 Apr 1973,Spain,75,1:48:18.700,EmersonFittipaldi
227,Tyrrell Ford,20 May 1973,Belgium,70,1:42:13.430,JackieStewart
228,Tyrrell Ford,03 Jun 1973,Monaco,78,1:57:44.300,JackieStewart
229,McLaren Ford,17 Jun 1973,Sweden,80,1:56:46.049,DennyHulme
230,Lotus Ford,01 Jul 1973,France,54,1:41:36.520,RonniePeterson
231,McLaren Ford,14 Jul 1973,Great Britain,67,1:29:18.500,Peter  Revson
232,Tyrrell Ford,29 Jul 1973,Netherlands,72,1:39:12.450,JackieStewart
233,Tyrrell Ford,05 Aug 1973,Germany,14,1:42:03.000,JackieStewart
234,Lotus Ford,19 Aug 1973,Austria,54,1:28:48.780,RonniePeterson
235,Lotus Ford,09 Sep 1973,Italy,55,1:29:17.000,RonniePeterson
236,McLaren Ford,23 Sep 1973,Canada,80,1:59:04.083,Peter  Revson
237,Lotus Ford,07 Oct 1973,United States,59,1:41:15.799,RonniePeterson
238,McLaren Ford,13 Jan 1974,Argentina,53,1:41:02.010,DennyHulme
239,McLaren Ford,27 Jan 1974,Brazil,32,1:24:37.060,EmersonFittipaldi
240,Brabham Ford,30 Mar 1974,South Africa,78,1:42:40.960,CarlosReutemann
241,Ferrari,28 Apr 1974,Spain,84,2:00:29.560,NikiLauda
242,McLaren Ford,12 May 1974,Belgium,85,1:44:20.570,EmersonFittipaldi
243,Lotus Ford,26 May 1974,Monaco,78,1:58:03.700,RonniePeterson
244,Tyrrell Ford,09 Jun 1974,Sweden,80,1:58:31.391,JodyScheckter
245,Ferrari,23 Jun 1974,Netherlands,75,1:43:00.350,NikiLauda
246,Lotus Ford,07 Jul 1974,France,80,1:21:55.020,RonniePeterson
247,Tyrrell Ford,20 Jul 1974,Great Britain,75,1:43:02.200,JodyScheckter
248,Ferrari,04 Aug 1974,Germany,14,1:41:35.000,ClayRegazzoni
249,Brabham Ford,18 Aug 1974,Austria,54,1:28:44.720,CarlosReutemann
250,Lotus Ford,08 Sep 1974,Italy,52,1:22:56.600,RonniePeterson
251,McLaren Ford,22 Sep 1974,Canada,80,1:40:26.136,EmersonFittipaldi
252,Brabham Ford,06 Oct 1974,United States,59,1:40:21.439,CarlosReutemann
253,McLaren Ford,12 Jan 1975,Argentina,53,1:39:26.290,EmersonFittipaldi
254,Brabham Ford,26 Jan 1975,Brazil,40,1:44:41.170,CarlosPace
255,Tyrrell Ford,01 Mar 1975,South Africa,78,1:43:16.900,JodyScheckter
256,McLaren Ford,27 Apr 1975,Spain,29,42:53.700,JochenMass
257,Ferrari,11 May 1975,Monaco,75,2:01:21.310,NikiLauda
258,Ferrari,25 May 1975,Belgium,70,1:43:53.980,NikiLauda
259,Ferrari,08 Jun 1975,Sweden,80,1:59:18.319,NikiLauda
260,Hesketh Ford,22 Jun 1975,Netherlands,75,1:46:57.400,JamesHunt
261,Ferrari,06 Jul 1975,France,54,1:40:18.840,NikiLauda
262,McLaren Ford,19 Jul 1975,Great Britain,56,1:22:05.000,EmersonFittipaldi
263,Brabham Ford,03 Aug 1975,Germany,14,1:41:14.100,CarlosReutemann
264,March Ford,17 Aug 1975,Austria,29,57:56.690,VittorioBrambilla
265,Ferrari,07 Sep 1975,Italy,52,1:22:42.600,ClayRegazzoni
266,Ferrari,05 Oct 1975,United States,59,1:42:58.175,NikiLauda
267,Ferrari,25 Jan 1976,Brazil,40,1:45:16.780,NikiLauda
268,Ferrari,06 Mar 1976,South Africa,78,1:42:18.400,NikiLauda
269,Ferrari,28 Mar 1976,USA West,80,1:53:18.471,ClayRegazzoni
270,McLaren Ford,02 May 1976,Spain,75,1:42:20.430,JamesHunt
271,Ferrari,16 May 1976,Belgium,70,1:42:53.230,NikiLauda
272,Ferrari,30 May 1976,Monaco,78,1:59:51.470,NikiLauda
273,Tyrrell Ford,13 Jun 1976,Sweden,72,1:46:53.729,JodyScheckter
274,McLaren Ford,04 Jul 1976,France,54,1:40:58.600,JamesHunt
275,Ferrari,18 Jul 1976,Great Britain,76,1:44:19.660,NikiLauda
276,McLaren Ford,01 Aug 1976,Germany,14,1:41:42.700,JamesHunt
277,Penske Ford,15 Aug 1976,Austria,54,1:30:07.860,JohnWatson
278,McLaren Ford,29 Aug 1976,Netherlands,75,1:44:52.090,JamesHunt
279,March Ford,12 Sep 1976,Italy,52,1:30:35.600,RonniePeterson
280,McLaren Ford,03 Oct 1976,Canada,80,1:40:09.626,JamesHunt
281,McLaren Ford,10 Oct 1976,USA East,59,1:42:40.741,JamesHunt
282,Lotus Ford,24 Oct 1976,Japan,73,1:43:58.860,MarioAndretti
283,Wolf Ford,09 Jan 1977,Argentina,53,1:40:11.190,JodyScheckter
284,Ferrari,23 Jan 1977,Brazil,40,1:45:07.720,CarlosReutemann
285,Ferrari,05 Mar 1977,South Africa,78,1:42:21.600,NikiLauda
286,Lotus Ford,03 Apr 1977,USA West,80,1:51:35.470,MarioAndretti
287,Lotus Ford,08 May 1977,Spain,75,1:42:52.220,MarioAndretti
288,Wolf Ford,22 May 1977,Monaco,76,1:57:52.770,JodyScheckter
289,Lotus Ford,05 Jun 1977,Belgium,70,1:55:05.710,GunnarNilsson
290,Ligier Matra,19 Jun 1977,Sweden,72,1:46:55.520,JacquesLaffite
291,Lotus Ford,03 Jul 1977,France,80,1:39:40.130,MarioAndretti
292,McLaren Ford,16 Jul 1977,Great Britain,68,1:31:46.060,JamesHunt
293,Ferrari,31 Jul 1977,Germany,47,1:31:48.620,NikiLauda
294,Shadow Ford,14 Aug 1977,Austria,54,1:37:16.490,Alan Jones
295,Ferrari,28 Aug 1977,Netherlands,75,1:41:45.930,NikiLauda
296,Lotus Ford,11 Sep 1977,Italy,52,1:27:50.300,MarioAndretti
297,McLaren Ford,02 Oct 1977,USA East,59,1:58:23.267,JamesHunt
298,Wolf Ford,09 Oct 1977,Canada,80,1:40:00.000,JodyScheckter
299,McLaren Ford,23 Oct 1977,Japan,73,1:31:51.680,JamesHunt
300,Lotus Ford,15 Jan 1978,Argentina,52,1:37:04.470,MarioAndretti
301,Ferrari,29 Jan 1978,Brazil,63,1:49:59.860,CarlosReutemann
302,Lotus Ford,04 Mar 1978,South Africa,78,1:42:15.767,RonniePeterson
303,Ferrari,02 Apr 1978,USA West,80,1:52:01.301,CarlosReutemann
304,Tyrrell Ford,07 May 1978,Monaco,75,1:55:14.660,PatrickDepailler
305,Lotus Ford,21 May 1978,Belgium,70,1:39:52.020,MarioAndretti
306,Lotus Ford,04 Jun 1978,Spain,75,1:41:47.060,MarioAndretti
307,Brabham Alfa Romeo,17 Jun 1978,Sweden,70,1:41:00.606,NikiLauda
308,Lotus Ford,02 Jul 1978,France,54,1:38:51.920,MarioAndretti
309,Ferrari,16 Jul 1978,Great Britain,76,1:42:12.390,CarlosReutemann
310,Lotus Ford,30 Jul 1978,Germany,45,1:28:00.900,MarioAndretti
311,Lotus Ford,13 Aug 1978,Austria,54,1:41:21.570,RonniePeterson
312,Lotus Ford,27 Aug 1978,Netherlands,75,1:41:04.230,MarioAndretti
313,Brabham Alfa Romeo,10 Sep 1978,Italy,40,1:07:04.540,NikiLauda
314,Ferrari,01 Oct 1978,USA East,59,1:40:48.800,CarlosReutemann
315,Ferrari,08 Oct 1978,Canada,70,1:57:49.196,GillesVilleneuve
316,Ligier Ford,21 Jan 1979,Argentina,53,1:36:03.210,JacquesLaffite
317,Ligier Ford,04 Feb 1979,Brazil,40,1:40:09.640,JacquesLaffite
318,Ferrari,03 Mar 1979,South Africa,78,1:41:49.960,GillesVilleneuve
319,Ferrari,08 Apr 1979,USA West,80,1:50:25.400,GillesVilleneuve
320,Ligier Ford,29 Apr 1979,Spain,75,1:39:11.840,PatrickDepailler
321,Ferrari,13 May 1979,Belgium,70,1:39:59.530,JodyScheckter
322,Ferrari,27 May 1979,Monaco,76,1:55:22.480,JodyScheckter
323,Renault,01 Jul 1979,France,80,1:35:20.420,Jean-PierreJabouille
324,Williams Ford,14 Jul 1979,Great Britain,68,1:26:11.170,ClayRegazzoni
325,Williams Ford,29 Jul 1979,Germany,45,1:24:48.830,Alan Jones
326,Williams Ford,12 Aug 1979,Austria,54,1:27:38.010,Alan Jones
327,Williams Ford,26 Aug 1979,Netherlands,75,1:41:19.775,Alan Jones
328,Ferrari,09 Sep 1979,Italy,50,1:22:00.220,JodyScheckter
329,Williams Ford,30 Sep 1979,Canada,72,1:52:06.892,Alan Jones
330,Ferrari,07 Oct 1979,USA East,59,1:52:17.734,GillesVilleneuve
331,Williams Ford,13 Jan 1980,Argentina,53,1:43:24.380,Alan Jones
332,Renault,27 Jan 1980,Brazil,40,1:40:01.330,ReneArnoux
333,Renault,01 Mar 1980,South Africa,78,1:36:52.540,ReneArnoux
334,Brabham Ford,30 Mar 1980,USA West,80,1:50:18.550,NelsonPiquet
335,Ligier Ford,04 May 1980,Belgium,72,1:38:46.510,DidierPironi
336,Williams Ford,18 May 1980,Monaco,76,1:55:34.365,CarlosReutemann
